consumer_id,recommender_id,cycle,satisfaction_score,rec_state,controlled
153,popular_1_exp_Experiment_1_seed_42,1,0.053636690838956495,connected,mainstream
91,popular_1_exp_Experiment_1_seed_42,1,0.05218716994059061,connected,mainstream
430,popular_1_exp_Experiment_1_seed_42,1,0.06332522213388424,connected,mainstream
426,popular_1_exp_Experiment_1_seed_42,1,0.0565555036163058,connected,mainstream
273,popular_1_exp_Experiment_1_seed_42,1,0.05041049509474863,connected,mainstream
371,popular_1_exp_Experiment_1_seed_42,1,0.05096985885780284,connected,mainstream
558,popular_1_exp_Experiment_1_seed_42,1,0.07088164856826235,connected,mainstream
477,popular_1_exp_Experiment_1_seed_42,1,0.051406002221762885,connected,mainstream
95,popular_1_exp_Experiment_1_seed_42,1,0.05198130868053553,connected,mainstream
391,popular_1_exp_Experiment_1_seed_42,1,0.05569833305314761,connected,mainstream
155,popular_1_exp_Experiment_1_seed_42,1,0.0613491269302495,connected,mainstream
98,popular_1_exp_Experiment_1_seed_42,1,0.06596343570640108,connected,mainstream
486,popular_1_exp_Experiment_1_seed_42,1,0.06376180060072269,connected,mainstream
287,popular_1_exp_Experiment_1_seed_42,1,0.05181354100164654,connected,mainstream
574,popular_1_exp_Experiment_1_seed_42,1,0.06268229667802595,connected,mainstream
49,popular_1_exp_Experiment_1_seed_42,1,0.014713118952534772,connected,niche
440,popular_1_exp_Experiment_1_seed_42,1,0.06279214231861241,connected,mainstream
75,popular_1_exp_Experiment_1_seed_42,1,0.05499549967221525,connected,mainstream
390,popular_1_exp_Experiment_1_seed_42,1,0.056403482294937295,connected,mainstream
141,popular_1_exp_Experiment_1_seed_42,1,0.051945332946996166,connected,mainstream
439,popular_1_exp_Experiment_1_seed_42,1,0.051297645048531924,connected,mainstream
223,popular_1_exp_Experiment_1_seed_42,1,0.07013783481765755,connected,mainstream
65,popular_1_exp_Experiment_1_seed_42,1,0.06352836040993334,connected,mainstream
407,popular_1_exp_Experiment_1_seed_42,1,0.05693900548007139,connected,mainstream
484,popular_1_exp_Experiment_1_seed_42,1,0.05144924219174297,connected,mainstream
81,popular_1_exp_Experiment_1_seed_42,1,0.05106197447191461,connected,mainstream
181,popular_1_exp_Experiment_1_seed_42,1,0.052577779049721086,connected,mainstream
217,popular_1_exp_Experiment_1_seed_42,1,0.05838740350823768,connected,mainstream
256,popular_1_exp_Experiment_1_seed_42,1,0.054106145741496636,connected,mainstream
318,popular_1_exp_Experiment_1_seed_42,1,0.0680620595061524,connected,mainstream
150,popular_1_exp_Experiment_1_seed_42,1,0.06875066627916969,connected,mainstream
342,popular_1_exp_Experiment_1_seed_42,1,0.06194114524147188,connected,mainstream
224,popular_1_exp_Experiment_1_seed_42,1,0.0536448290778515,connected,mainstream
179,popular_1_exp_Experiment_1_seed_42,1,0.05367398800623411,connected,mainstream
514,popular_1_exp_Experiment_1_seed_42,1,0.05145078858375549,connected,mainstream
130,popular_1_exp_Experiment_1_seed_42,1,0.04938861383708144,connected,mainstream
120,popular_1_exp_Experiment_1_seed_42,1,0.06151835460868904,connected,mainstream
550,popular_1_exp_Experiment_1_seed_42,1,0.056889758636278535,connected,mainstream
76,popular_1_exp_Experiment_1_seed_42,1,0.0659299393628278,connected,mainstream
448,popular_1_exp_Experiment_1_seed_42,1,0.06462713714458979,connected,mainstream
248,popular_1_exp_Experiment_1_seed_42,1,0.051612890581962834,connected,mainstream
397,popular_1_exp_Experiment_1_seed_42,1,0.06182563254937009,connected,mainstream
39,popular_1_exp_Experiment_1_seed_42,1,0.017141523660766166,connected,niche
367,popular_1_exp_Experiment_1_seed_42,1,0.056395507150338475,connected,mainstream
168,popular_1_exp_Experiment_1_seed_42,1,0.04589914317963695,connected,mainstream
300,popular_1_exp_Experiment_1_seed_42,1,0.057206489881564605,connected,mainstream
435,popular_1_exp_Experiment_1_seed_42,1,0.060909989325069865,connected,mainstream
38,popular_1_exp_Experiment_1_seed_42,1,0.028862703601066807,connected,niche
221,popular_1_exp_Experiment_1_seed_42,1,0.0536689325748076,connected,mainstream
251,popular_1_exp_Experiment_1_seed_42,1,0.05161804307103995,connected,mainstream
326,popular_1_exp_Experiment_1_seed_42,1,0.06790043808772485,connected,mainstream
362,popular_1_exp_Experiment_1_seed_42,1,0.0511806969673829,connected,mainstream
554,popular_1_exp_Experiment_1_seed_42,1,0.059237675446629535,connected,mainstream
0,popular_1_exp_Experiment_1_seed_42,1,0.013639541889918677,connected,niche
595,popular_1_exp_Experiment_1_seed_42,1,0.05127929932414147,connected,mainstream
487,popular_1_exp_Experiment_1_seed_42,1,0.05494426862024088,connected,mainstream
369,popular_1_exp_Experiment_1_seed_42,1,0.07272190880545067,connected,mainstream
521,popular_1_exp_Experiment_1_seed_42,1,0.06069828726706802,connected,mainstream
34,popular_1_exp_Experiment_1_seed_42,1,0.01472808280693124,connected,niche
233,popular_1_exp_Experiment_1_seed_42,1,0.043549300209588415,connected,mainstream
10,popular_1_exp_Experiment_1_seed_42,1,0.020108274355537362,connected,niche
51,popular_1_exp_Experiment_1_seed_42,1,0.017177419145639434,connected,niche
117,popular_1_exp_Experiment_1_seed_42,1,0.04927690867472906,connected,mainstream
226,popular_1_exp_Experiment_1_seed_42,1,0.06511208270516962,connected,mainstream
464,popular_1_exp_Experiment_1_seed_42,1,0.0675333042107975,connected,mainstream
126,popular_1_exp_Experiment_1_seed_42,1,0.057485125050130315,connected,mainstream
522,popular_1_exp_Experiment_1_seed_42,1,0.05882102019113359,connected,mainstream
585,popular_1_exp_Experiment_1_seed_42,1,0.056635110143695044,connected,mainstream
40,popular_1_exp_Experiment_1_seed_42,1,0.019710222224987695,connected,niche
455,popular_1_exp_Experiment_1_seed_42,1,0.055745996819922324,connected,mainstream
216,popular_1_exp_Experiment_1_seed_42,1,0.057675184400251885,connected,mainstream
493,popular_1_exp_Experiment_1_seed_42,1,0.05928810290964448,connected,mainstream
495,popular_1_exp_Experiment_1_seed_42,1,0.06405844836198954,connected,mainstream
208,popular_1_exp_Experiment_1_seed_42,1,0.05426818257689001,connected,mainstream
368,popular_1_exp_Experiment_1_seed_42,1,0.06650938946822892,connected,mainstream
590,popular_1_exp_Experiment_1_seed_42,1,0.05135479466861657,connected,mainstream
232,popular_1_exp_Experiment_1_seed_42,1,0.055613039688253124,connected,mainstream
491,popular_1_exp_Experiment_1_seed_42,1,0.05102177492166928,connected,mainstream
