provider_id,recommender_id,profit,cycle,fee,clicks,shows,connected_recommenders,controlled
8,popular_1_exp_Experiment_1_seed_42,228.11000000000004,1,45.59,302,1529,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,243.44000000000003,1,48.160000000000004,315,1656,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,243.98000000000005,1,48.220000000000006,315,1662,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,219.17,1,42.330000000000005,268,1543,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,232.19000000000005,1,45.510000000000005,294,1601,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,236.36000000000004,1,46.84,307,1604,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,231.64999999999998,1,44.25000000000001,276,1655,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,236.57000000000005,1,46.13,296,1643,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,83.69,1,16.810000000000002,111,561,1,niche
2,popular_1_exp_Experiment_1_seed_42,220.94,1,42.86000000000001,273,1546,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,255.23000000000002,2,51.870000000000005,351,1667,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,226.34,2,43.46,273,1606,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,240.8,2,47.2,305,1660,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,231.95,2,45.75,298,1585,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,228.35,2,44.15,280,1605,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,222.64999999999998,2,44.25000000000001,291,1505,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,245.84,2,47.96,308,1706,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,218.21000000000004,2,41.49,257,1569,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,74.75,2,15.15,101,495,1,niche
2,popular_1_exp_Experiment_1_seed_42,231.08000000000004,2,45.12,290,1602,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,239.06,3,46.940000000000005,304,1644,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,228.74000000000004,3,45.46,299,1546,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,227.69000000000003,3,45.21,297,1541,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,219.29000000000002,3,41.81,260,1571,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,238.37,3,46.93,305,1633,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,236.54000000000002,3,46.06,295,1646,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,231.64999999999998,3,45.050000000000004,288,1615,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,237.65,3,45.650000000000006,287,1685,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,90.02000000000001,3,18.180000000000003,121,598,1,niche
2,popular_1_exp_Experiment_1_seed_42,224.39,3,44.510000000000005,292,1521,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,224.42000000000002,4,42.980000000000004,269,1598,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,240.44000000000005,4,46.760000000000005,299,1676,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,232.54999999999998,4,46.35,306,1565,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,233.06000000000003,4,45.54,293,1614,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,231.08,4,45.52,296,1582,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,232.25000000000003,4,44.85,284,1635,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,232.67000000000002,4,45.63,295,1603,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,237.49999999999997,4,46.9,306,1620,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,79.64,4,15.959999999999999,105,536,1,niche
2,popular_1_exp_Experiment_1_seed_42,230.39000000000004,4,45.510000000000005,297,1571,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,226.79000000000005,5,43.910000000000004,279,1591,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,241.79000000000002,5,47.51,308,1661,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,230.75,5,44.95,288,1605,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,229.7,5,44.300000000000004,280,1620,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,234.79999999999998,5,46.4,303,1600,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,220.52,5,43.080000000000005,277,1528,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,242.72000000000003,5,48.480000000000004,321,1628,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,231.95000000000002,5,45.35,292,1605,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,80.3,5,15.9,103,550,1,niche
2,popular_1_exp_Experiment_1_seed_42,239.18,5,47.620000000000005,314,1612,1,mainstream
