consumer_id,recommender_id,cycle,satisfaction_score,rec_state,controlled,experiment_id,random_seed
229,popular_1_exp_0_seed_None,1,0.05274888764528296,connected,general,0,
229,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
109,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
109,popular_2_exp_0_seed_None,1,0.045237241966654525,connected,general,0,
406,popular_1_exp_0_seed_None,1,0.06824059468517799,connected,general,0,
406,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
450,popular_1_exp_0_seed_None,1,0.06201514862473334,connected,general,0,
450,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
49,popular_1_exp_0_seed_None,1,0.0,connected,niche,0,
49,popular_2_exp_0_seed_None,1,0.09722455794887065,connected,niche,0,
17,popular_1_exp_0_seed_None,1,0.0,connected,niche,0,
17,popular_2_exp_0_seed_None,1,0.09402403536340058,connected,niche,0,
23,popular_1_exp_0_seed_None,1,0.0,connected,niche,0,
23,popular_2_exp_0_seed_None,1,0.13256582803286676,connected,niche,0,
383,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
383,popular_2_exp_0_seed_None,1,0.05525525751369285,connected,general,0,
387,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
387,popular_2_exp_0_seed_None,1,0.03581538137753713,connected,general,0,
228,popular_1_exp_0_seed_None,1,0.05487107684542591,connected,general,0,
228,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
556,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
556,popular_2_exp_0_seed_None,1,0.04108586169657325,connected,general,0,
265,popular_1_exp_0_seed_None,1,0.05751178570298574,connected,general,0,
265,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
69,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
69,popular_2_exp_0_seed_None,1,0.04002272453092348,connected,general,0,
354,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
354,popular_2_exp_0_seed_None,1,0.04982437622229393,connected,general,0,
380,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
380,popular_2_exp_0_seed_None,1,0.037247616429510716,connected,general,0,
397,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
397,popular_2_exp_0_seed_None,1,0.041178220075591875,connected,general,0,
579,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
579,popular_2_exp_0_seed_None,1,0.03750546003438176,connected,general,0,
451,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
451,popular_2_exp_0_seed_None,1,0.04394474326919703,connected,general,0,
259,popular_1_exp_0_seed_None,1,0.05847112896179077,connected,general,0,
259,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
470,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
470,popular_2_exp_0_seed_None,1,0.03655757518565438,connected,general,0,
478,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
478,popular_2_exp_0_seed_None,1,0.03760763423073593,connected,general,0,
11,popular_1_exp_0_seed_None,1,0.014984159031161145,connected,niche,0,
11,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
106,popular_1_exp_0_seed_None,1,0.05482050938770535,connected,general,0,
106,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
213,popular_1_exp_0_seed_None,1,0.0,connected,general,0,
213,popular_2_exp_0_seed_None,1,0.040309930091238365,connected,general,0,
421,popular_1_exp_0_seed_None,1,0.05750221446806785,connected,general,0,
421,popular_2_exp_0_seed_None,1,0.0,connected,general,0,
