customer_id,recommender_id,experiment_id,random_seed
229,popular_2_exp_0_seed_None,0,
109,popular_2_exp_0_seed_None,0,
406,popular_2_exp_0_seed_None,0,
450,popular_2_exp_0_seed_None,0,
49,popular_2_exp_0_seed_None,0,
17,popular_2_exp_0_seed_None,0,
23,popular_1_exp_0_seed_None,0,
383,popular_1_exp_0_seed_None,0,
387,popular_1_exp_0_seed_None,0,
228,popular_2_exp_0_seed_None,0,
556,popular_2_exp_0_seed_None,0,
265,popular_2_exp_0_seed_None,0,
69,popular_2_exp_0_seed_None,0,
354,popular_2_exp_0_seed_None,0,
380,popular_2_exp_0_seed_None,0,
397,popular_2_exp_0_seed_None,0,
579,popular_1_exp_0_seed_None,0,
451,popular_2_exp_0_seed_None,0,
259,popular_1_exp_0_seed_None,0,
470,popular_2_exp_0_seed_None,0,
478,popular_1_exp_0_seed_None,0,
11,popular_2_exp_0_seed_None,0,
106,popular_2_exp_0_seed_None,0,
213,popular_2_exp_0_seed_None,0,
421,popular_1_exp_0_seed_None,0,
334,popular_2_exp_0_seed_None,0,
452,popular_1_exp_0_seed_None,0,
585,popular_2_exp_0_seed_None,0,
93,popular_2_exp_0_seed_None,0,
575,popular_1_exp_0_seed_None,0,
340,popular_1_exp_0_seed_None,0,
216,popular_1_exp_0_seed_None,0,
112,popular_1_exp_0_seed_None,0,
417,popular_1_exp_0_seed_None,0,
360,popular_1_exp_0_seed_None,0,
215,popular_1_exp_0_seed_None,0,
72,popular_2_exp_0_seed_None,0,
78,popular_1_exp_0_seed_None,0,
59,popular_1_exp_0_seed_None,0,
214,popular_2_exp_0_seed_None,0,
299,popular_2_exp_0_seed_None,0,
364,popular_2_exp_0_seed_None,0,
505,popular_2_exp_0_seed_None,0,
318,popular_1_exp_0_seed_None,0,
25,popular_1_exp_0_seed_None,0,
105,popular_2_exp_0_seed_None,0,
39,popular_1_exp_0_seed_None,0,
179,popular_1_exp_0_seed_None,0,
483,popular_2_exp_0_seed_None,0,
209,popular_2_exp_0_seed_None,0,
316,popular_2_exp_0_seed_None,0,
362,popular_1_exp_0_seed_None,0,
187,popular_2_exp_0_seed_None,0,
14,popular_2_exp_0_seed_None,0,
372,popular_2_exp_0_seed_None,0,
487,popular_2_exp_0_seed_None,0,
86,popular_1_exp_0_seed_None,0,
464,popular_2_exp_0_seed_None,0,
590,popular_1_exp_0_seed_None,0,
418,popular_2_exp_0_seed_None,0,
9,popular_2_exp_0_seed_None,0,
554,popular_1_exp_0_seed_None,0,
489,popular_2_exp_0_seed_None,0,
248,popular_2_exp_0_seed_None,0,
386,popular_2_exp_0_seed_None,0,
427,popular_1_exp_0_seed_None,0,
219,popular_1_exp_0_seed_None,0,
425,popular_2_exp_0_seed_None,0,
308,popular_1_exp_0_seed_None,0,
584,popular_2_exp_0_seed_None,0,
408,popular_2_exp_0_seed_None,0,
254,popular_1_exp_0_seed_None,0,
148,popular_1_exp_0_seed_None,0,
488,popular_1_exp_0_seed_None,0,
459,popular_2_exp_0_seed_None,0,
284,popular_2_exp_0_seed_None,0,
353,popular_1_exp_0_seed_None,0,
42,popular_2_exp_0_seed_None,0,
98,popular_2_exp_0_seed_None,0,
68,popular_1_exp_0_seed_None,0,
330,popular_2_exp_0_seed_None,0,
591,popular_1_exp_0_seed_None,0,
223,popular_2_exp_0_seed_None,0,
513,popular_1_exp_0_seed_None,0,
525,popular_2_exp_0_seed_None,0,
162,popular_2_exp_0_seed_None,0,
436,popular_2_exp_0_seed_None,0,
405,popular_2_exp_0_seed_None,0,
479,popular_1_exp_0_seed_None,0,
180,popular_2_exp_0_seed_None,0,
530,popular_2_exp_0_seed_None,0,
480,popular_2_exp_0_seed_None,0,
274,popular_1_exp_0_seed_None,0,
355,popular_1_exp_0_seed_None,0,
269,popular_1_exp_0_seed_None,0,
90,popular_2_exp_0_seed_None,0,
296,popular_1_exp_0_seed_None,0,
