consumer_id,recommender_id,cycle,satisfaction_score,rec_state,controlled,experiment_id,random_seed
229,popular_1_exp_0_seed_None,1,0.052027870102741236,connected,general,0,
109,popular_1_exp_0_seed_None,1,0.07638079193606116,connected,general,0,
406,popular_1_exp_0_seed_None,1,0.06344084144142982,connected,general,0,
450,popular_1_exp_0_seed_None,1,0.05617621099622322,connected,general,0,
49,popular_1_exp_0_seed_None,1,0.02938102004586406,,niche,0,
49,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
17,popular_1_exp_0_seed_None,1,0.016299015443932557,,niche,0,
17,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
23,popular_1_exp_0_seed_None,1,0.018456046721035235,,niche,0,
23,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
383,popular_1_exp_0_seed_None,1,0.06683080114002343,connected,general,0,
387,popular_1_exp_0_seed_None,1,0.052368041726889754,connected,general,0,
228,popular_1_exp_0_seed_None,1,0.05450052243373451,connected,general,0,
556,popular_1_exp_0_seed_None,1,0.062284754231190176,connected,general,0,
265,popular_1_exp_0_seed_None,1,0.0577501208458898,connected,general,0,
69,popular_1_exp_0_seed_None,1,0.05541967633931972,connected,general,0,
354,popular_1_exp_0_seed_None,1,0.06367315428502557,connected,general,0,
380,popular_1_exp_0_seed_None,1,0.07170891388137111,connected,general,0,
397,popular_1_exp_0_seed_None,1,0.05830908717217679,connected,general,0,
579,popular_1_exp_0_seed_None,1,0.05573954325197328,connected,general,0,
451,popular_1_exp_0_seed_None,1,0.058529609958119934,connected,general,0,
259,popular_1_exp_0_seed_None,1,0.055045030866811985,connected,general,0,
470,popular_1_exp_0_seed_None,1,0.0673140896444273,connected,general,0,
478,popular_1_exp_0_seed_None,1,0.06205312208505135,connected,general,0,
11,popular_1_exp_0_seed_None,1,0.014573555795225658,,niche,0,
11,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
106,popular_1_exp_0_seed_None,1,0.055697939850746,connected,general,0,
213,popular_1_exp_0_seed_None,1,0.05774564496190442,connected,general,0,
421,popular_1_exp_0_seed_None,1,0.07085865305953774,connected,general,0,
334,popular_1_exp_0_seed_None,1,0.055463105540328246,connected,general,0,
452,popular_1_exp_0_seed_None,1,0.06136982330139182,connected,general,0,
585,popular_1_exp_0_seed_None,1,0.06243691759249841,connected,general,0,
93,popular_1_exp_0_seed_None,1,0.0589615189593923,connected,general,0,
575,popular_1_exp_0_seed_None,1,0.05838581399297824,connected,general,0,
340,popular_1_exp_0_seed_None,1,0.05876406734996877,connected,general,0,
216,popular_1_exp_0_seed_None,1,0.058195039016593654,connected,general,0,
112,popular_1_exp_0_seed_None,1,0.05907104237683027,connected,general,0,
417,popular_1_exp_0_seed_None,1,0.05766948847556338,connected,general,0,
360,popular_1_exp_0_seed_None,1,0.06603804580858344,connected,general,0,
215,popular_1_exp_0_seed_None,1,0.05792663182427351,connected,general,0,
72,popular_1_exp_0_seed_None,1,0.051743354367762284,connected,general,0,
78,popular_1_exp_0_seed_None,1,0.05791565347140651,connected,general,0,
59,popular_1_exp_0_seed_None,1,0.017777779520307478,,niche,0,
59,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
214,popular_1_exp_0_seed_None,1,0.05542288290755707,connected,general,0,
299,popular_1_exp_0_seed_None,1,0.058521730522923206,connected,general,0,
364,popular_1_exp_0_seed_None,1,0.058298371484954196,connected,general,0,
505,popular_1_exp_0_seed_None,1,0.061063025856688075,connected,general,0,
318,popular_1_exp_0_seed_None,1,0.06197596095938144,connected,general,0,
25,popular_1_exp_0_seed_None,1,0.013908703138756981,,niche,0,
25,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
105,popular_1_exp_0_seed_None,1,0.05468064406237855,connected,general,0,
39,popular_1_exp_0_seed_None,1,0.013950381166606775,,niche,0,
39,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
179,popular_1_exp_0_seed_None,1,0.0625556418412546,connected,general,0,
483,popular_1_exp_0_seed_None,1,0.05318226045235195,connected,general,0,
209,popular_1_exp_0_seed_None,1,0.052975480904562194,connected,general,0,
316,popular_1_exp_0_seed_None,1,0.058171157106859495,connected,general,0,
362,popular_1_exp_0_seed_None,1,0.055942845345095395,connected,general,0,
187,popular_1_exp_0_seed_None,1,0.06462444791873784,connected,general,0,
14,popular_1_exp_0_seed_None,1,0.01914019738578286,,niche,0,
14,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
372,popular_1_exp_0_seed_None,1,0.062074630086408254,connected,general,0,
487,popular_1_exp_0_seed_None,1,0.053012785258810695,connected,general,0,
86,popular_1_exp_0_seed_None,1,0.05810650457031283,connected,general,0,
464,popular_1_exp_0_seed_None,1,0.058887430528408176,connected,general,0,
590,popular_1_exp_0_seed_None,1,0.052373114477987114,connected,general,0,
418,popular_1_exp_0_seed_None,1,0.05703431852829292,connected,general,0,
9,popular_1_exp_0_seed_None,1,0.021272255829422188,,niche,0,
9,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
554,popular_1_exp_0_seed_None,1,0.05885163167086591,connected,general,0,
489,popular_1_exp_0_seed_None,1,0.05867535598493612,connected,general,0,
248,popular_1_exp_0_seed_None,1,0.05268346534334787,connected,general,0,
386,popular_1_exp_0_seed_None,1,0.05630720692237049,connected,general,0,
427,popular_1_exp_0_seed_None,1,0.05861964536828859,connected,general,0,
219,popular_1_exp_0_seed_None,1,0.05815054954924705,connected,general,0,
425,popular_1_exp_0_seed_None,1,0.05875960018831361,connected,general,0,
308,popular_1_exp_0_seed_None,1,0.05540663071836093,connected,general,0,
584,popular_1_exp_0_seed_None,1,0.055286871114768675,connected,general,0,
408,popular_1_exp_0_seed_None,1,0.059147807635418936,connected,general,0,
254,popular_1_exp_0_seed_None,1,0.061184233517938356,connected,general,0,
148,popular_1_exp_0_seed_None,1,0.05429139092102462,connected,general,0,
488,popular_1_exp_0_seed_None,1,0.06300014090760901,connected,general,0,
459,popular_1_exp_0_seed_None,1,0.0548331918831528,connected,general,0,
284,popular_1_exp_0_seed_None,1,0.05789770059504243,connected,general,0,
353,popular_1_exp_0_seed_None,1,0.05330362105601529,connected,general,0,
42,popular_1_exp_0_seed_None,1,0.014817902846575562,,niche,0,
42,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
98,popular_1_exp_0_seed_None,1,0.0571615575742008,connected,general,0,
68,popular_1_exp_0_seed_None,1,0.05431944648179197,connected,general,0,
330,popular_1_exp_0_seed_None,1,0.05845057696038728,connected,general,0,
591,popular_1_exp_0_seed_None,1,0.05467358942744558,connected,general,0,
223,popular_1_exp_0_seed_None,1,0.062614847346823,connected,general,0,
513,popular_1_exp_0_seed_None,1,0.052974660761892965,connected,general,0,
525,popular_1_exp_0_seed_None,1,0.05367169429262535,connected,general,0,
162,popular_1_exp_0_seed_None,1,0.052406481477549414,connected,general,0,
436,popular_1_exp_0_seed_None,1,0.05154082044187777,connected,general,0,
405,popular_1_exp_0_seed_None,1,0.05803246948120628,connected,general,0,
479,popular_1_exp_0_seed_None,1,0.0538805973080724,connected,general,0,
180,popular_1_exp_0_seed_None,1,0.05747611826062224,connected,general,0,
530,popular_1_exp_0_seed_None,1,0.055438068651022104,connected,general,0,
480,popular_1_exp_0_seed_None,1,0.05899240162781347,connected,general,0,
274,popular_1_exp_0_seed_None,1,0.06181341480341765,connected,general,0,
355,popular_1_exp_0_seed_None,1,0.062349259175082876,connected,general,0,
269,popular_1_exp_0_seed_None,1,0.06073582197432604,connected,general,0,
90,popular_1_exp_0_seed_None,1,0.05124558894192815,connected,general,0,
296,popular_1_exp_0_seed_None,1,0.06227860993283271,connected,general,0,
352,popular_1_exp_0_seed_None,1,0.05086009025471274,connected,general,0,
297,popular_1_exp_0_seed_None,1,0.07906164376587117,connected,general,0,
40,popular_1_exp_0_seed_None,1,0.02553900561777928,,niche,0,
40,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
291,popular_1_exp_0_seed_None,1,0.0527169677459444,connected,general,0,
484,popular_1_exp_0_seed_None,1,0.055159025854579075,connected,general,0,
242,popular_1_exp_0_seed_None,1,0.05103179731003487,connected,general,0,
127,popular_1_exp_0_seed_None,1,0.05804156500567246,connected,general,0,
424,popular_1_exp_0_seed_None,1,0.05241271038779579,connected,general,0,
24,popular_1_exp_0_seed_None,1,0.01648702039740713,,niche,0,
24,popular_2_exp_0_seed_None,1,0.0,connected,niche,0,
593,popular_1_exp_0_seed_None,1,0.06522655318365687,connected,general,0,
