recommender_id,num_connected_providers,num_connected_consumers,total_profit,cycle,experiment_id,random_seed
popular_1_exp_0_seed_None,10,521,2700.0000000000005,1,0,
popular_2_exp_0_seed_None,10,79,0.0,1,0,
popular_1_exp_0_seed_None,10,536,2344.5000000000005,2,0,
popular_2_exp_0_seed_None,10,64,355.5,2,0,
popular_1_exp_0_seed_None,10,526,2412.0,3,0,
popular_2_exp_0_seed_None,10,74,288.0,3,0,
popular_1_exp_0_seed_None,10,536,2367.0,4,0,
popular_2_exp_0_seed_None,10,64,333.0,4,0,
popular_1_exp_0_seed_None,10,520,2412.0000000000005,5,0,
popular_2_exp_0_seed_None,10,80,288.0,5,0,
popular_1_exp_0_seed_None,10,532,2340.0,6,0,
popular_2_exp_0_seed_None,10,68,360.0,6,0,
popular_1_exp_0_seed_None,10,522,2394.0,7,0,
popular_2_exp_0_seed_None,10,78,306.0,7,0,
popular_1_exp_0_seed_None,10,537,2349.0000000000005,8,0,
popular_2_exp_0_seed_None,10,63,351.0,8,0,
popular_1_exp_0_seed_None,10,521,2416.5,9,0,
popular_2_exp_0_seed_None,10,79,283.50000000000006,9,0,
popular_1_exp_0_seed_None,10,531,2344.5000000000005,10,0,
popular_2_exp_0_seed_None,10,69,355.5,10,0,
popular_1_exp_0_seed_None,10,519,2389.5000000000005,11,0,
popular_2_exp_0_seed_None,10,81,310.5,11,0,
popular_1_exp_0_seed_None,10,535,2335.5000000000005,12,0,
popular_2_exp_0_seed_None,10,65,364.5,12,0,
popular_1_exp_0_seed_None,10,522,2407.5,13,0,
popular_2_exp_0_seed_None,10,78,292.5,13,0,
popular_1_exp_0_seed_None,10,532,2349.0,14,0,
popular_2_exp_0_seed_None,10,68,351.00000000000006,14,0,
popular_1_exp_0_seed_None,10,520,2394.0000000000005,15,0,
popular_2_exp_0_seed_None,10,80,306.0,15,0,
popular_1_exp_0_seed_None,10,532,2340.0,16,0,
popular_2_exp_0_seed_None,10,68,360.0,16,0,
popular_1_exp_0_seed_None,10,524,2394.0,17,0,
popular_2_exp_0_seed_None,10,76,306.0,17,0,
popular_1_exp_0_seed_None,10,531,2358.0,18,0,
popular_2_exp_0_seed_None,10,69,342.0,18,0,
popular_1_exp_0_seed_None,10,524,2389.5,19,0,
popular_2_exp_0_seed_None,10,76,310.5,19,0,
popular_1_exp_0_seed_None,10,533,2358.0,20,0,
popular_2_exp_0_seed_None,10,67,342.0,20,0,
popular_1_exp_0_seed_None,10,520,2398.5,21,0,
popular_2_exp_0_seed_None,10,80,301.5,21,0,
popular_1_exp_0_seed_None,10,532,2340.0000000000005,22,0,
popular_2_exp_0_seed_None,10,68,360.0,22,0,
popular_1_exp_0_seed_None,10,523,2393.9999999999995,23,0,
popular_2_exp_0_seed_None,10,77,306.0,23,0,
popular_1_exp_0_seed_None,10,538,2353.5,24,0,
popular_2_exp_0_seed_None,10,62,346.5,24,0,
popular_1_exp_0_seed_None,10,520,2421.0,25,0,
popular_2_exp_0_seed_None,10,80,279.0,25,0,
popular_1_exp_0_seed_None,10,535,2340.0,26,0,
popular_2_exp_0_seed_None,10,65,360.00000000000006,26,0,
popular_1_exp_0_seed_None,10,518,2407.4999999999995,27,0,
popular_2_exp_0_seed_None,10,82,292.50000000000006,27,0,
popular_1_exp_0_seed_None,10,535,2330.9999999999995,28,0,
popular_2_exp_0_seed_None,10,65,369.0,28,0,
popular_1_exp_0_seed_None,10,521,2407.5,29,0,
popular_2_exp_0_seed_None,10,79,292.5,29,0,
popular_1_exp_0_seed_None,10,534,2344.5000000000005,30,0,
popular_2_exp_0_seed_None,10,66,355.5,30,0,
popular_1_exp_0_seed_None,10,520,2403.0000000000005,31,0,
popular_2_exp_0_seed_None,10,80,297.0,31,0,
popular_1_exp_0_seed_None,10,535,2340.000000000001,32,0,
popular_2_exp_0_seed_None,10,65,360.0,32,0,
popular_1_exp_0_seed_None,10,522,2407.5,33,0,
popular_2_exp_0_seed_None,10,78,292.5,33,0,
popular_1_exp_0_seed_None,10,534,2349.0,34,0,
popular_2_exp_0_seed_None,10,66,351.0,34,0,
popular_1_exp_0_seed_None,10,521,2403.0000000000005,35,0,
popular_2_exp_0_seed_None,10,79,297.0,35,0,
popular_1_exp_0_seed_None,10,531,2344.5,36,0,
popular_2_exp_0_seed_None,10,69,355.50000000000006,36,0,
popular_1_exp_0_seed_None,10,522,2389.5,37,0,
popular_2_exp_0_seed_None,10,78,310.5,37,0,
popular_1_exp_0_seed_None,10,530,2349.0,38,0,
popular_2_exp_0_seed_None,10,70,351.0,38,0,
popular_1_exp_0_seed_None,10,522,2384.9999999999995,39,0,
popular_2_exp_0_seed_None,10,78,315.0,39,0,
popular_1_exp_0_seed_None,10,530,2349.0,40,0,
popular_2_exp_0_seed_None,10,70,351.0,40,0,
popular_1_exp_0_seed_None,10,525,2385.0000000000005,41,0,
popular_2_exp_0_seed_None,10,75,315.0,41,0,
popular_1_exp_0_seed_None,10,531,2362.5,42,0,
popular_2_exp_0_seed_None,10,69,337.5,42,0,
popular_1_exp_0_seed_None,10,518,2389.5000000000005,43,0,
popular_2_exp_0_seed_None,10,82,310.50000000000006,43,0,
popular_1_exp_0_seed_None,10,534,2331.0,44,0,
popular_2_exp_0_seed_None,10,66,369.0,44,0,
popular_1_exp_0_seed_None,10,517,2403.0,45,0,
popular_2_exp_0_seed_None,10,83,297.0,45,0,
popular_1_exp_0_seed_None,10,530,2326.5000000000005,46,0,
popular_2_exp_0_seed_None,10,70,373.5,46,0,
popular_1_exp_0_seed_None,10,523,2385.0,47,0,
popular_2_exp_0_seed_None,10,77,315.0,47,0,
popular_1_exp_0_seed_None,10,536,2353.5000000000005,48,0,
popular_2_exp_0_seed_None,10,64,346.5,48,0,
popular_1_exp_0_seed_None,10,519,2412.0,49,0,
popular_2_exp_0_seed_None,10,81,288.0,49,0,
popular_1_exp_0_seed_None,10,536,2335.5,50,0,
popular_2_exp_0_seed_None,10,64,364.5,50,0,
popular_1_exp_0_seed_None,10,521,2412.0,51,0,
popular_2_exp_0_seed_None,10,79,288.0,51,0,
popular_1_exp_0_seed_None,10,534,2344.5,52,0,
popular_2_exp_0_seed_None,10,66,355.5,52,0,
popular_1_exp_0_seed_None,10,524,2403.0,53,0,
popular_2_exp_0_seed_None,10,76,297.0,53,0,
popular_1_exp_0_seed_None,10,533,2358.0000000000005,54,0,
popular_2_exp_0_seed_None,10,67,342.0,54,0,
popular_1_exp_0_seed_None,10,526,2398.5,55,0,
popular_2_exp_0_seed_None,10,74,301.5,55,0,
popular_1_exp_0_seed_None,10,527,2367.0,56,0,
popular_2_exp_0_seed_None,10,73,333.0,56,0,
popular_1_exp_0_seed_None,10,524,2371.5,57,0,
popular_2_exp_0_seed_None,10,76,328.5,57,0,
popular_1_exp_0_seed_None,10,531,2358.0,58,0,
popular_2_exp_0_seed_None,10,69,342.0,58,0,
popular_1_exp_0_seed_None,10,523,2389.4999999999995,59,0,
popular_2_exp_0_seed_None,10,77,310.5,59,0,
popular_1_exp_0_seed_None,10,533,2353.5,60,0,
popular_2_exp_0_seed_None,10,67,346.5,60,0,
