customer_id,recommender_id
579,popular_1_exp_Experiment_1_seed_42
205,popular_1_exp_Experiment_1_seed_42
513,popular_1_exp_Experiment_1_seed_42
166,popular_1_exp_Experiment_1_seed_42
512,popular_1_exp_Experiment_1_seed_42
582,popular_1_exp_Experiment_1_seed_42
257,popular_1_exp_Experiment_1_seed_42
187,popular_1_exp_Experiment_1_seed_42
93,popular_1_exp_Experiment_1_seed_42
357,popular_1_exp_Experiment_1_seed_42
65,popular_1_exp_Experiment_1_seed_42
383,popular_1_exp_Experiment_1_seed_42
572,popular_1_exp_Experiment_1_seed_42
306,popular_1_exp_Experiment_1_seed_42
238,popular_1_exp_Experiment_1_seed_42
387,popular_1_exp_Experiment_1_seed_42
548,popular_1_exp_Experiment_1_seed_42
206,popular_1_exp_Experiment_1_seed_42
517,popular_1_exp_Experiment_1_seed_42
40,popular_1_exp_Experiment_1_seed_42
436,popular_1_exp_Experiment_1_seed_42
272,popular_1_exp_Experiment_1_seed_42
195,popular_1_exp_Experiment_1_seed_42
554,popular_1_exp_Experiment_1_seed_42
152,popular_1_exp_Experiment_1_seed_42
577,popular_1_exp_Experiment_1_seed_42
439,popular_1_exp_Experiment_1_seed_42
145,popular_1_exp_Experiment_1_seed_42
57,popular_1_exp_Experiment_1_seed_42
369,popular_1_exp_Experiment_1_seed_42
142,popular_1_exp_Experiment_1_seed_42
96,popular_1_exp_Experiment_1_seed_42
353,popular_1_exp_Experiment_1_seed_42
292,popular_1_exp_Experiment_1_seed_42
168,popular_1_exp_Experiment_1_seed_42
218,popular_1_exp_Experiment_1_seed_42
419,popular_1_exp_Experiment_1_seed_42
317,popular_1_exp_Experiment_1_seed_42
150,popular_1_exp_Experiment_1_seed_42
123,popular_1_exp_Experiment_1_seed_42
364,popular_1_exp_Experiment_1_seed_42
382,popular_1_exp_Experiment_1_seed_42
114,popular_1_exp_Experiment_1_seed_42
549,popular_1_exp_Experiment_1_seed_42
148,popular_1_exp_Experiment_1_seed_42
305,popular_1_exp_Experiment_1_seed_42
370,popular_1_exp_Experiment_1_seed_42
550,popular_1_exp_Experiment_1_seed_42
110,popular_1_exp_Experiment_1_seed_42
63,popular_1_exp_Experiment_1_seed_42
492,popular_1_exp_Experiment_1_seed_42
553,popular_1_exp_Experiment_1_seed_42
47,popular_1_exp_Experiment_1_seed_42
330,popular_1_exp_Experiment_1_seed_42
176,popular_1_exp_Experiment_1_seed_42
356,popular_1_exp_Experiment_1_seed_42
407,popular_1_exp_Experiment_1_seed_42
394,popular_1_exp_Experiment_1_seed_42
458,popular_1_exp_Experiment_1_seed_42
22,popular_1_exp_Experiment_1_seed_42
395,popular_1_exp_Experiment_1_seed_42
239,popular_1_exp_Experiment_1_seed_42
234,popular_1_exp_Experiment_1_seed_42
53,popular_1_exp_Experiment_1_seed_42
98,popular_1_exp_Experiment_1_seed_42
232,popular_1_exp_Experiment_1_seed_42
178,popular_1_exp_Experiment_1_seed_42
162,popular_1_exp_Experiment_1_seed_42
479,popular_1_exp_Experiment_1_seed_42
385,popular_1_exp_Experiment_1_seed_42
462,popular_1_exp_Experiment_1_seed_42
328,popular_1_exp_Experiment_1_seed_42
506,popular_1_exp_Experiment_1_seed_42
299,popular_1_exp_Experiment_1_seed_42
167,popular_1_exp_Experiment_1_seed_42
386,popular_1_exp_Experiment_1_seed_42
522,popular_1_exp_Experiment_1_seed_42
26,popular_1_exp_Experiment_1_seed_42
183,popular_1_exp_Experiment_1_seed_42
320,popular_1_exp_Experiment_1_seed_42
172,popular_1_exp_Experiment_1_seed_42
103,popular_1_exp_Experiment_1_seed_42
203,popular_1_exp_Experiment_1_seed_42
333,popular_1_exp_Experiment_1_seed_42
347,popular_1_exp_Experiment_1_seed_42
249,popular_1_exp_Experiment_1_seed_42
274,popular_1_exp_Experiment_1_seed_42
14,popular_1_exp_Experiment_1_seed_42
300,popular_1_exp_Experiment_1_seed_42
223,popular_1_exp_Experiment_1_seed_42
502,popular_1_exp_Experiment_1_seed_42
193,popular_1_exp_Experiment_1_seed_42
285,popular_1_exp_Experiment_1_seed_42
404,popular_1_exp_Experiment_1_seed_42
533,popular_1_exp_Experiment_1_seed_42
112,popular_1_exp_Experiment_1_seed_42
284,popular_1_exp_Experiment_1_seed_42
108,popular_1_exp_Experiment_1_seed_42
345,popular_1_exp_Experiment_1_seed_42
415,popular_1_exp_Experiment_1_seed_42
220,popular_1_exp_Experiment_1_seed_42
366,popular_1_exp_Experiment_1_seed_42
222,popular_1_exp_Experiment_1_seed_42
139,popular_1_exp_Experiment_1_seed_42
463,popular_1_exp_Experiment_1_seed_42
41,popular_1_exp_Experiment_1_seed_42
83,popular_1_exp_Experiment_1_seed_42
590,popular_1_exp_Experiment_1_seed_42
470,popular_1_exp_Experiment_1_seed_42
268,popular_1_exp_Experiment_1_seed_42
530,popular_1_exp_Experiment_1_seed_42
180,popular_1_exp_Experiment_1_seed_42
468,popular_1_exp_Experiment_1_seed_42
77,popular_1_exp_Experiment_1_seed_42
563,popular_1_exp_Experiment_1_seed_42
588,popular_1_exp_Experiment_1_seed_42
454,popular_1_exp_Experiment_1_seed_42
295,popular_1_exp_Experiment_1_seed_42
478,popular_1_exp_Experiment_1_seed_42
565,popular_1_exp_Experiment_1_seed_42
144,popular_1_exp_Experiment_1_seed_42
581,popular_1_exp_Experiment_1_seed_42
39,popular_1_exp_Experiment_1_seed_42
510,popular_1_exp_Experiment_1_seed_42
431,popular_1_exp_Experiment_1_seed_42
71,popular_1_exp_Experiment_1_seed_42
99,popular_1_exp_Experiment_1_seed_42
584,popular_1_exp_Experiment_1_seed_42
42,popular_1_exp_Experiment_1_seed_42
538,popular_1_exp_Experiment_1_seed_42
592,popular_1_exp_Experiment_1_seed_42
117,popular_1_exp_Experiment_1_seed_42
151,popular_1_exp_Experiment_1_seed_42
3,popular_1_exp_Experiment_1_seed_42
433,popular_1_exp_Experiment_1_seed_42
237,popular_1_exp_Experiment_1_seed_42
580,popular_1_exp_Experiment_1_seed_42
555,popular_1_exp_Experiment_1_seed_42
