provider_id,recommender_id,profit,cycle,fee,clicks,shows,connected_recommenders,controlled
8,popular_1_exp_Experiment_1_seed_42,408.35,1,80.35,523,2795,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,119.72,1,22.68,139,868,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,244.04000000000002,1,48.36000000000001,317,1656,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,269.96,1,53.04,344,1854,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,345.83000000000004,1,68.86999999999999,455,2327,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,302.78000000000003,1,60.620000000000005,403,2022,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,96.41000000000001,1,18.290000000000003,112,699,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,94.39999999999999,1,18.200000000000003,114,670,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,207.98000000000002,1,41.220000000000006,270,1412,1,niche
2,popular_1_exp_Experiment_1_seed_42,98.03,1,18.87,118,697,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,417.29,2,81.61,527,2881,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,57.17,2,11.33,73,393,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,333.86,2,65.53999999999999,425,2294,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,377.78000000000003,2,75.62,503,2522,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,195.8,2,38.6,251,1340,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,359.72,2,70.47999999999999,456,2478,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,42.86,2,8.34,52,304,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,51.620000000000005,2,10.38,68,348,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,319.7900000000001,2,64.50999999999999,433,2111,1,niche
2,popular_1_exp_Experiment_1_seed_42,43.309999999999995,2,7.99,46,329,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,408.4100000000001,3,80.28999999999999,522,2799,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,53.45,3,10.25,63,385,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,385.25,3,76.85,509,2585,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,381.77,3,75.73,498,2583,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,104.99000000000001,3,20.510000000000005,131,731,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,386.24000000000007,3,76.56,503,2616,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,43.01,3,8.49,54,299,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,49.25,3,9.049999999999999,52,375,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,345.65,3,69.85,470,2275,1,niche
2,popular_1_exp_Experiment_1_seed_42,45.980000000000004,3,8.42,48,352,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,410.21000000000004,4,81.69,540,2759,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,47.720000000000006,4,8.88,52,358,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,376.1600000000001,4,72.84,464,2634,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,390.74,4,77.25999999999999,506,2656,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,68.09,4,13.409999999999998,86,471,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,410.3,4,82.5,552,2720,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,51.11,4,10.59,72,329,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,49.1,4,9.5,59,350,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,366.35,4,73.95,497,2415,1,niche
2,popular_1_exp_Experiment_1_seed_42,41.12,4,7.68,45,308,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,403.37000000000006,5,79.33,516,2763,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,39.86000000000001,5,7.539999999999999,45,294,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,395.0,5,77.0,495,2740,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,401.24,5,79.75999999999999,526,2706,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,53.75,5,10.549999999999999,67,375,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,416.09000000000003,5,84.00999999999999,565,2741,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,42.38000000000001,5,8.22,51,302,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,44.18000000000001,5,9.02,60,292,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,372.17,5,74.92999999999999,502,2463,1,niche
2,popular_1_exp_Experiment_1_seed_42,41.959999999999994,5,7.64,43,324,1,mainstream
