provider_id,recommender_id,profit,cycle,fee,clicks,shows,connected_recommenders,controlled
8,popular_1_exp_Experiment_1_seed_42,458.75,1,89.14999999999999,571,3195,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,480.59000000000003,1,95.11,624,3261,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,493.76,1,98.24000000000001,649,3324,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,452.21000000000004,1,88.28999999999999,569,3129,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,457.88,1,88.72,566,3202,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,462.65,1,92.25,611,3105,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,486.17,1,94.93,612,3363,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,448.61,1,85.49000000000001,533,3209,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,158.57,1,31.93,213,1053,1,niche
2,popular_1_exp_Experiment_1_seed_42,455.81000000000006,1,88.89,572,3159,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,481.04,2,95.56,630,3246,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,467.90000000000003,2,91.7,594,3220,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,443.4800000000001,2,85.92,548,3102,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,452.21000000000004,2,87.09,551,3189,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,462.98,2,90.22,580,3212,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,481.73,2,94.97,620,3287,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,457.58000000000004,2,88.41999999999999,562,3212,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,487.64000000000004,2,96.56,634,3306,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,170.21,2,34.09,226,1139,1,niche
2,popular_1_exp_Experiment_1_seed_42,451.43000000000006,2,88.87,579,3087,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,460.64,3,89.36,571,3216,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,478.79,3,93.71,606,3301,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,461.9900000000001,3,88.91,562,3261,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,471.49999999999994,3,93.3,612,3200,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,467.93,3,92.57,607,3177,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,451.82,3,88.18,568,3128,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,466.0400000000001,3,91.75999999999999,598,3186,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,455.36,3,88.64,569,3164,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,165.95000000000002,3,33.150000000000006,219,1115,1,niche
2,popular_1_exp_Experiment_1_seed_42,480.08000000000004,3,95.12,625,3252,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,455.21000000000004,4,89.28999999999999,579,3129,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,461.45000000000005,4,87.65,544,3315,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,467.4800000000001,4,91.92,598,3202,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,472.49000000000007,4,92.81,603,3241,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,469.24999999999994,4,92.05,597,3225,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,452.11999999999995,4,88.67999999999999,575,3108,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,466.28,4,91.72,597,3192,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,469.58000000000004,4,91.41999999999999,587,3262,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,161.84000000000003,4,32.56,217,1076,1,niche
2,popular_1_exp_Experiment_1_seed_42,477.49999999999994,4,94.3,617,3250,1,mainstream
8,popular_1_exp_Experiment_1_seed_42,457.1300000000001,5,89.77,583,3137,1,mainstream
4,popular_1_exp_Experiment_1_seed_42,460.13,5,89.37,572,3207,1,mainstream
3,popular_1_exp_Experiment_1_seed_42,466.43,5,90.07,572,3277,1,mainstream
9,popular_1_exp_Experiment_1_seed_42,475.5800000000001,5,94.82,628,3192,1,mainstream
6,popular_1_exp_Experiment_1_seed_42,462.89000000000004,5,89.81,574,3231,1,mainstream
7,popular_1_exp_Experiment_1_seed_42,474.65,5,93.85,615,3225,1,mainstream
10,popular_1_exp_Experiment_1_seed_42,458.57000000000005,5,89.53,577,3173,1,mainstream
5,popular_1_exp_Experiment_1_seed_42,472.61,5,92.49000000000001,598,3259,1,mainstream
1,popular_1_exp_Experiment_1_seed_42,171.68,5,35.120000000000005,239,1112,1,niche
2,popular_1_exp_Experiment_1_seed_42,452.93000000000006,5,87.37,554,3187,1,mainstream
